epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.9809,2.33627,2.8993,1.57153,1e-05,0.00044,0,0,3.9727,8.8496,2.01702,0.0902954,9.71429e-06,9.71429e-06
2,101.37,1.585,1.58825,1.14639,0.32669,0.32112,0.28818,0.13206,1.68997,2.97294,1.09563,0.0803054,1.97121e-05,1.97121e-05
3,141.41,1.51794,1.45618,1.117,0.66188,0.45253,0.44265,0.25493,1.44451,2.28324,1.01928,0.0703154,2.97014e-05,2.97014e-05
4,180.484,1.48602,1.38464,1.09175,0.69817,0.45842,0.47092,0.16334,2.15904,1.6615,1.3045,0.0603254,3.96755e-05,3.96755e-05
5,223.041,1.47105,1.35661,1.09643,0.69422,0.32674,0.26914,0.12889,2.34712,2.20364,1.27549,0.0503353,4.9628e-05,4.9628e-05
6,260.872,1.4943,1.37462,1.09474,0.5821,0.48419,0.46326,0.24736,1.43706,1.70574,1.00915,0.0403453,5.95524e-05,5.95524e-05
7,298.594,1.35078,1.31176,1.05067,0.65975,0.5124,0.53371,0.33872,1.38473,1.47865,1.00837,0.0303552,6.94422e-05,6.94422e-05
8,336.46,1.38776,1.30179,1.05506,0.66801,0.53429,0.54464,0.34701,1.29303,1.36734,0.98123,0.020365,7.9291e-05,7.9291e-05
9,374.445,1.39364,1.26714,1.05448,0.55966,0.57046,0.57743,0.38404,1.2777,1.31561,0.96642,0.0103748,8.90924e-05,8.90924e-05
10,412.279,1.3801,1.26511,1.04851,0.53085,0.58057,0.58027,0.36542,1.39929,1.37039,0.99448,0.000384554,9.884e-05,9.884e-05
11,450.003,1.34171,1.25112,1.04442,0.53328,0.62021,0.59468,0.37095,1.44662,1.30094,1.0252,9.89183e-05,9.89183e-05,9.89183e-05
12,487.7,1.31657,1.22469,1.03141,0.47323,0.59997,0.59176,0.39681,1.18516,1.35243,0.94948,9.86922e-05,9.86922e-05,9.86922e-05
13,525.715,1.34349,1.21502,1.02983,0.58976,0.60762,0.60301,0.30974,1.63486,1.3784,1.07253,9.84449e-05,9.84449e-05,9.84449e-05
14,563.423,1.30104,1.20112,1.0336,0.54253,0.60634,0.58895,0.38062,1.3235,1.3521,0.9729,9.81765e-05,9.81765e-05,9.81765e-05
15,601.205,1.25228,1.16756,1.00991,0.54685,0.60671,0.60179,0.40023,1.30811,1.3629,0.9672,9.78873e-05,9.78873e-05,9.78873e-05
16,639.084,1.30109,1.18473,1.02837,0.53555,0.60245,0.60157,0.39553,1.25698,1.25312,0.96235,9.75773e-05,9.75773e-05,9.75773e-05
17,676.827,1.34743,1.18886,1.03506,0.56264,0.61948,0.6036,0.36203,1.37886,1.28928,0.99082,9.72466e-05,9.72466e-05,9.72466e-05
18,714.482,1.27229,1.16613,1.00788,0.59477,0.59799,0.61452,0.36606,1.53112,1.30266,1.05643,9.68955e-05,9.68955e-05,9.68955e-05
19,752.388,1.26865,1.17446,1.00963,0.56668,0.57035,0.5762,0.39361,1.29331,1.44987,0.96031,9.65239e-05,9.65239e-05,9.65239e-05
20,790.063,1.31867,1.19339,1.02651,0.52544,0.63304,0.60694,0.33905,1.49074,1.35436,1.03214,9.61322e-05,9.61322e-05,9.61322e-05
21,827.829,1.2501,1.13806,1.00854,0.57486,0.60482,0.5902,0.40638,1.26261,1.31038,0.95646,9.57205e-05,9.57205e-05,9.57205e-05
22,865.796,1.19989,1.11782,0.98857,0.56317,0.60366,0.59372,0.40933,1.24585,1.29811,0.95005,9.52889e-05,9.52889e-05,9.52889e-05
23,903.727,1.26563,1.14886,1.0088,0.55732,0.59141,0.60854,0.37495,1.5278,1.33715,1.05114,9.48377e-05,9.48377e-05,9.48377e-05
24,941.385,1.21504,1.11189,0.99905,0.58042,0.60065,0.60085,0.40647,1.22113,1.29287,0.95402,9.43671e-05,9.43671e-05,9.43671e-05
25,979.245,1.24775,1.12279,0.99985,0.52208,0.58958,0.56453,0.37393,1.40793,1.36847,0.98187,9.38772e-05,9.38772e-05,9.38772e-05
26,1016.9,1.23331,1.11772,1.0046,0.56948,0.59316,0.59421,0.37301,1.34712,1.31,0.98415,9.33683e-05,9.33683e-05,9.33683e-05
27,1054.76,1.18733,1.09865,0.98626,0.56893,0.63028,0.62632,0.40135,1.3285,1.27759,0.98276,9.28405e-05,9.28405e-05,9.28405e-05
28,1092.27,1.1731,1.08562,0.98015,0.61861,0.58213,0.59064,0.40634,1.18434,1.40178,0.94161,9.22942e-05,9.22942e-05,9.22942e-05
29,1130.09,1.19165,1.08651,0.98241,0.5841,0.62181,0.62592,0.42756,1.22026,1.22833,0.94844,9.17296e-05,9.17296e-05,9.17296e-05
30,1168.1,1.19224,1.0835,0.98188,0.59315,0.59888,0.61278,0.40565,1.3136,1.3435,0.96047,9.11469e-05,9.11469e-05,9.11469e-05
31,1205.9,1.18469,1.08755,0.9892,0.5689,0.61906,0.60407,0.41808,1.19207,1.26646,0.94287,9.05463e-05,9.05463e-05,9.05463e-05
32,1243.6,1.17197,1.05691,0.98174,0.60447,0.59811,0.60429,0.42742,1.17318,1.33705,0.93803,8.99282e-05,8.99282e-05,8.99282e-05
33,1281.26,1.12314,1.04588,0.96585,0.57622,0.60448,0.61489,0.40409,1.35107,1.36002,0.96706,8.92928e-05,8.92928e-05,8.92928e-05
34,1318.86,1.15784,1.05714,0.97696,0.60288,0.60248,0.61892,0.42022,1.2028,1.30256,0.94502,8.86404e-05,8.86404e-05,8.86404e-05
35,1356.54,1.19851,1.06081,0.98711,0.6006,0.58588,0.61003,0.41389,1.23758,1.34447,0.95816,8.79713e-05,8.79713e-05,8.79713e-05
36,1397.3,1.22477,1.07491,0.99511,0.59614,0.57364,0.5897,0.40618,1.31485,1.36367,0.95621,8.72857e-05,8.72857e-05,8.72857e-05
37,1435.19,1.15685,1.03415,0.97476,0.55713,0.58591,0.58317,0.39692,1.38071,1.42489,0.97219,8.65839e-05,8.65839e-05,8.65839e-05
38,1472.75,1.12401,1.00882,0.97241,0.58154,0.58565,0.60453,0.41404,1.31211,1.3523,0.95666,8.58664e-05,8.58664e-05,8.58664e-05
39,1510.62,1.15897,1.03045,0.97688,0.584,0.59027,0.59713,0.42562,1.14206,1.35028,0.92481,8.51333e-05,8.51333e-05,8.51333e-05
40,1548.26,1.14837,1.02441,0.96774,0.55257,0.5647,0.59179,0.41053,1.27783,1.38575,0.94761,8.43851e-05,8.43851e-05,8.43851e-05
41,1586.11,1.16005,1.02868,0.97348,0.53011,0.57589,0.57356,0.37601,1.5916,1.46559,1.01393,8.3622e-05,8.3622e-05,8.3622e-05
42,1623.79,1.12759,1.01132,0.96334,0.59104,0.59807,0.6049,0.41943,1.19148,1.31643,0.94062,8.28443e-05,8.28443e-05,8.28443e-05
43,1661.42,1.12098,0.99591,0.96082,0.55565,0.56387,0.58731,0.40567,1.26935,1.40106,0.94656,8.20525e-05,8.20525e-05,8.20525e-05
44,1699.05,1.09166,0.98687,0.96217,0.57493,0.61362,0.59894,0.41735,1.25201,1.3416,0.94198,8.12468e-05,8.12468e-05,8.12468e-05
45,1736.81,1.09509,0.97466,0.9533,0.63922,0.60109,0.61765,0.43801,1.2115,1.28978,0.9359,8.04277e-05,8.04277e-05,8.04277e-05
46,1774.67,1.11718,0.99703,0.96383,0.5975,0.57271,0.60425,0.44138,1.14351,1.35283,0.92908,7.95954e-05,7.95954e-05,7.95954e-05
47,1812.6,1.1009,0.97801,0.95394,0.63854,0.5677,0.59301,0.40685,1.27069,1.43592,0.94832,7.87503e-05,7.87503e-05,7.87503e-05
48,1850.2,1.0945,0.96472,0.95503,0.65539,0.57393,0.605,0.42105,1.18544,1.35718,0.93622,7.78929e-05,7.78929e-05,7.78929e-05
49,1889.54,1.08735,0.96105,0.95754,0.54676,0.58223,0.58491,0.39672,1.45003,1.48801,0.97836,7.70234e-05,7.70234e-05,7.70234e-05
50,1927.25,1.09242,0.96512,0.95922,0.57418,0.55421,0.58549,0.35338,1.72777,1.47924,1.04022,7.61423e-05,7.61423e-05,7.61423e-05
51,1965.02,1.07469,0.96156,0.95279,0.58452,0.56719,0.58947,0.39809,1.39412,1.40318,0.97235,7.525e-05,7.525e-05,7.525e-05
52,2002.7,1.1018,0.94936,0.95418,0.56845,0.5637,0.59215,0.4081,1.29409,1.4015,0.95818,7.43468e-05,7.43468e-05,7.43468e-05
53,2040.38,1.04834,0.91458,0.94991,0.59694,0.57152,0.59632,0.41927,1.19951,1.34256,0.93295,7.34332e-05,7.34332e-05,7.34332e-05
54,2080.17,1.07876,0.93587,0.94213,0.61862,0.54847,0.58571,0.42044,1.20906,1.42837,0.94024,7.25094e-05,7.25094e-05,7.25094e-05
55,2117.85,1.06479,0.94047,0.94976,0.58383,0.57185,0.59415,0.38594,1.50809,1.53848,0.99556,7.15761e-05,7.15761e-05,7.15761e-05
56,2155.57,1.05032,0.91158,0.94042,0.57558,0.60252,0.59515,0.43174,1.17001,1.34973,0.9347,7.06335e-05,7.06335e-05,7.06335e-05
57,2193.32,1.05641,0.91805,0.9433,0.57055,0.57781,0.58782,0.37777,1.49005,1.47906,0.98995,6.9682e-05,6.9682e-05,6.9682e-05
58,2230.97,1.01987,0.89077,0.93218,0.54427,0.58653,0.58243,0.41244,1.18918,1.3629,0.93771,6.87222e-05,6.87222e-05,6.87222e-05
59,2270.88,1.04083,0.8977,0.93584,0.58067,0.56802,0.59165,0.42289,1.14478,1.38832,0.92675,6.77543e-05,6.77543e-05,6.77543e-05
60,2311.74,1.05256,0.90215,0.94239,0.58612,0.57148,0.59044,0.4123,1.28433,1.42345,0.95058,6.67789e-05,6.67789e-05,6.67789e-05
61,2349.56,1.03883,0.88234,0.93519,0.57785,0.57778,0.58839,0.41875,1.18117,1.4161,0.9347,6.57963e-05,6.57963e-05,6.57963e-05
62,2388.57,1.07886,0.88766,0.94636,0.57829,0.53908,0.57876,0.40654,1.24069,1.51489,0.94507,6.48071e-05,6.48071e-05,6.48071e-05
63,2426.42,1.01874,0.86331,0.9282,0.54559,0.56233,0.5708,0.40162,1.23837,1.50082,0.94707,6.38115e-05,6.38115e-05,6.38115e-05
64,2464.04,1.0102,0.86447,0.92882,0.59634,0.51548,0.57068,0.41395,1.15587,1.49958,0.936,6.28101e-05,6.28101e-05,6.28101e-05
65,2501.78,0.99395,0.85697,0.92459,0.55472,0.5839,0.57996,0.4065,1.29146,1.4388,0.95262,6.18034e-05,6.18034e-05,6.18034e-05
66,2539.27,0.98468,0.84623,0.92601,0.51303,0.55443,0.5474,0.36805,1.42199,1.61839,0.98709,6.07916e-05,6.07916e-05,6.07916e-05
67,2576.91,0.98864,0.84188,0.91724,0.58027,0.55067,0.56291,0.39697,1.2619,1.50288,0.94948,5.97754e-05,5.97754e-05,5.97754e-05
68,2614.45,1.02007,0.85036,0.92793,0.53313,0.5616,0.55567,0.39628,1.2665,1.48176,0.95449,5.87551e-05,5.87551e-05,5.87551e-05
69,2655.61,1.04721,0.84942,0.93749,0.5529,0.5556,0.55701,0.39526,1.26582,1.54286,0.95694,5.77311e-05,5.77311e-05,5.77311e-05
70,2693.06,1.01087,0.83404,0.93132,0.549,0.55613,0.56003,0.38935,1.34318,1.51496,0.9666,5.6704e-05,5.6704e-05,5.6704e-05
71,2730.54,0.98036,0.81994,0.92437,0.55151,0.55939,0.56587,0.40523,1.20798,1.48397,0.94489,5.56742e-05,5.56742e-05,5.56742e-05
72,2769.9,0.97581,0.82078,0.91998,0.59742,0.56642,0.57019,0.39323,1.37291,1.51372,0.97667,5.46421e-05,5.46421e-05,5.46421e-05
73,2807.48,0.97159,0.80952,0.91903,0.55287,0.53433,0.56108,0.39899,1.25755,1.47764,0.95258,5.36081e-05,5.36081e-05,5.36081e-05
74,2845.06,0.98804,0.81441,0.92195,0.52015,0.53854,0.54941,0.39714,1.22425,1.67223,0.9479,5.25728e-05,5.25728e-05,5.25728e-05
